ID, UUID, Time (s), Siblings Left
357, 72c038bd-30f4-5bd7-b4e2-febe3e86d218, 140, 0
514, a7aa36e6-10c4-5008-8a02-039988f284df, 10, 0
580, bd12784f-262b-53ab-a760-a3ae23e77759, 21600, 3
695, e568d445-9c15-5614-9893-5b2763374516, 21600, 22
723, f07a9c94-412f-5311-a12b-15c6abc15e8d, 21600, 4
41, 0d8cc72b-6c69-5651-9866-fb2a8cc0b414, 21600, 25
130, 2879294f-1bb1-5523-881b-868d03af8f6d, 21600, 25
591, bff47eee-dd7c-5bd2-ace0-d2a1f1ff7705, 30, 0
754, ffda5b18-fd23-569f-acbb-59bc94864f14, 10, 0
438, 8e35ecaa-e6e4-52f4-aa53-4d1d85b9c324, 10, 0
574, bb0f6cb3-4848-5303-baeb-8b5ebf9d1303, 21600, 36
599, c2afb5d9-45e9-5c80-ac5e-16d9a6a1355b, 21600, 22
654, d6f67f24-6092-57f7-85ea-497f6b700551, 8910, 0
679, df6b3a85-13f3-5477-ac1c-cada76c1a111, 17590, 0
33, 0b77ccbe-f93d-588a-9b87-86c0d84a222c, 980, 0
193, 3beb538b-0a53-510c-a1c8-69cdea0fa87b, 10, 0
314, 661b1345-76fd-59a5-9afb-3245026c326d, 21600, 17
418, 87b576e6-224f-5eba-bf54-d78ded3e3467, 21600, 4
452, 92f0e45f-a6a5-529f-a661-a003b35b6272, 21600, 36
490, a01ffa3f-54bf-5ea8-b1b8-9000ca39a7ac, 10, 0
590, bfcd5664-a7a6-5293-a270-eda60084e23a, 21600, 98
114, 227256d9-de52-5ab8-8c4d-82cb3623e3a0, 10, 0
244, 4fe579e5-2800-5192-9b04-f066c86e93f5, 21600, 4
55, 10677f3d-e82c-57a5-9078-70e000ced105, 15320, 0
195, 3c06c1e7-42f0-5e2b-9cef-59ed4f7a2533, 18080, 0
240, 4ea36b36-df60-5edc-9b03-ec3704b524e1, 10, 0
378, 7a6335a4-061e-5a44-b121-cda047bc08b9, 21600, 6
443, 8f8f451f-aa12-5e3a-b2d3-80347afd62bc, 21600, 2
526, ac13946f-fd2f-5ad9-be28-61971fe06b9a, 80, 0
588, bf4ed8ab-bffb-5779-ab23-f3a2ccae1da0, 150, 0
36, 0bf1f574-ef9f-5b4c-8bda-c108600f7c1d, 50, 0
38, 0ca90a18-9e0b-58d0-8637-636c092a8d77, 10, 0
40, 0d872660-79c4-51a9-9f81-54fffb548b20, 21600, 2
54, 105d73a9-3eff-5348-b600-48fec7007d78, 21600, 4
301, 6180cb8a-840f-5b2b-baa7-7210ad15c432, 21600, 98
